1    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
24   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /Users/jmignault/Documents/workspace/search_app/jetty/contexts at interval 0
29   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /Users/jmignault/Documents/workspace/search_app/jetty/contexts/solr.xml
910  [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
954  [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
967  [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
967  [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /Users/jmignault/Documents/workspace/search_app/jetty/solr
968  [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/jmignault/Documents/workspace/search_app/jetty/solr/'
969  [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/contrib/' to classloader
971  [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
972  [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
972  [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
1072 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /Users/jmignault/Documents/workspace/search_app/jetty/solr/solr.xml
1165 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /Users/jmignault/Documents/workspace/search_app/jetty/solr
1170 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 586127428
1170 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/Users/jmignault/Documents/workspace/search_app/jetty/solr/]
1172 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /Users/jmignault/Documents/workspace/search_app/jetty/solr/lib
1172 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/contrib/' to classloader
1172 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
1172 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
1172 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
1186 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
1186 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
1190 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
1190 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
1190 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
1190 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
1190 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
1190 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
1191 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
1306 [main] INFO  org.apache.solr.update.UpdateShardHandler  – Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
1309 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
1310 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
1311 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
1364 [main] INFO  org.apache.solr.core.CoresLocator  – Looking for core definitions underneath /Users/jmignault/Documents/workspace/search_app/jetty/solr
1373 [main] INFO  org.apache.solr.core.CoresLocator  – Found core blacklight-core in /Users/jmignault/Documents/workspace/search_app/jetty/solr/blacklight-core/
1378 [main] INFO  org.apache.solr.core.CoresLocator  – Found 1 core definitions
1380 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/jmignault/Documents/workspace/search_app/jetty/solr/blacklight-core/'
1406 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
1407 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/contrib/analysis-extras/lib/icu4j-53.1.jar' to classloader
1407 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-fsa-1.7.1.jar' to classloader
1407 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-polish-1.7.1.jar' to classloader
1407 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-stemming-1.7.1.jar' to classloader
1408 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-icu-4.10.3.jar' to classloader
1408 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-morfologik-4.10.3.jar' to classloader
1408 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-smartcn-4.10.3.jar' to classloader
1408 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-stempel-4.10.3.jar' to classloader
1443 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: 4.0.0
1488 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
1492 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from /Users/jmignault/Documents/workspace/search_app/jetty/solr/blacklight-core/conf/schema.xml
1516 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – [blacklight-core] Schema name=Blacklight Demo Index
1568 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrResourceLoader  – Solr loaded a deprecated plugin/analysis class [solr.IntField]. Please consult documentation how to replace it accordingly.
1570 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrResourceLoader  – Solr loaded a deprecated plugin/analysis class [solr.LongField]. Please consult documentation how to replace it accordingly.
1572 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrResourceLoader  – Solr loaded a deprecated plugin/analysis class [solr.FloatField]. Please consult documentation how to replace it accordingly.
1573 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrResourceLoader  – Solr loaded a deprecated plugin/analysis class [solr.DoubleField]. Please consult documentation how to replace it accordingly.
1575 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrResourceLoader  – Solr loaded a deprecated plugin/analysis class [solr.DateField]. Please consult documentation how to replace it accordingly.
1640 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – default search field in schema is text
1640 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – query parser default operator is OR
1641 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.schema.IndexSchema  – unique key field: id
1702 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'blacklight-core' using configuration from instancedir /Users/jmignault/Documents/workspace/search_app/jetty/solr/blacklight-core/
1715 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – solr.StandardDirectoryFactory
